model,pathway,region,variables,unit,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
image,SSP2-RCP19,CH,Production|Liquid fuel|Diesel|Biodiesel,PJ/year,5.24,2.67,1.8,2.54,3.6,4.93,5.34,5.34,5.34,5.34,5.34,5.34
image,SSP2-RCP19,CH,Production|Liquid fuel|Diesel|Synthetic diesel,PJ/year,0,0,0,0,0,8.05,19.79,19.79,19.79,19.79,19.79,19.79
image,SSP2-RCP19,CH,Production|Liquid fuel|Petrol|Petrol,PJ/year,81.525,67.881,54.198,41.869,29.514,16.03,0,0,0,0,0,0
image,SSP2-RCP19,CH,Production|Liquid fuel|Petrol|Bioethanol,PJ/year,1.242,2.829,3.768,3.151,2.222,1.448,0.878,0.878,0.878,0.878,0.878,0.878
image,SSP2-RCP19,CH,Production|Liquid fuel|Petrol|Synthetic petrol,PJ/year,0,0,0,0,0,3.206,11.662,11.662,11.662,11.662,11.662,11.662
image,SSP2-RCP19,CH,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,PJ/year,0,0,0,1,2,5,9,9,9,9,9,9
image,SSP2-RCP19,CH,Production|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,PJ/year,0,1,2,4,5,6,7,7,7,7,7,7
image,SSP2-RCP19,CH,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
image,SSP2-RCP19,CH,Efficiency|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
image,SSP2-RCP19,CH,Production|Gaseous fuel|Hydrogen|Gaseous to liquid,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,CH,Distribution losses|Gaseous fuel|Hydrogen|Liquefaction,%,1,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
image,SSP2-RCP19,CH,Distribution losses|Gaseous fuel|Hydrogen|Evaporation,%,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
image,SSP2-RCP19,CH,Distribution losses|Gaseous fuel|Hydrogen|Leakage,%,1,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295
image,SSP2-RCP19,CH,Cushion gas|Gaseous fuel|Hydrogen|Geological storage,%,1,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
image,SSP2-RCP19,CH,Efficiency|Gaseous fuel|Hydrogen|Liquefaction,%,1,1.110,1.220,1.440,1.630,1.820,2.000,2.000,2.000,2.000,2.000,2.000
image,SSP2-RCP19,CH,Production|Liquid fuel|DAC,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,CH,Production|Gaseous fuel|CNG,PJ/year,0.498,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
image,SSP2-RCP19,CH,Production|Gaseous fuel|LNG,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
image,SSP2-RCP19,CH,Production|Gaseous fuel|Biomethane,PJ/year,0.145,1.173,2.577,4.180,6.223,8.042,8.631,8.631,8.631,8.631,8.631,8.631
image,SSP2-RCP19,CH,Production|Gaseous fuel|Synthetic gas,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
image,SSP2-RCP19,CH,Production|Gaseous fuel|Low to high,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,CH,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975
image,SSP2-Base,CH,Production|Electricity|Neighbor countries|Reservoir,PJ/year,666.22,669.694,674.011,670.346,690.76,711.591,730.723,730.723,730.723,730.723,730.723,730.723
image,SSP2-Base,CH,Production|Electricity|Neighbor countries|Nuclear,PJ/year,1687.313,1428.995,1158.156,666.961,294.026,165.244,32.634,32.634,32.634,32.634,32.634,32.634
image,SSP2-Base,CH,Production|Electricity|Neighbor countries|Coal,PJ/year,647.341,587.696,371.927,210.679,0,0,0,0,0,0,0,0
